latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Thalassarche chlororhynchos|Gelbnasenalbatros|Albatros Clororrinco|Hreggtrosi|Gulnæbbet Albatros|albatros pestrozobý|hoikka-albatrossi|Albatro beccogiallo|キバナアホウドリ|Geelbekalbatros|Tristanalbatross|albatros zóltodzioby|Albatroz-de-nariz-amarelo|Желтоклювый альбатрос|albatros pestrozobý|Gulnäbbad albatross|黄鼻信天翁
Thalassarche melanophris|Schwarzbrauenalbatros|Albatros Ojeroso|Svaltrosi|Sortbrynet Albatros|albatros černobrvý|mustakulma-albatrossi|Albatro dai sopraccigli neri|マユグロアホウドリ|Wenkbrauwalbatros|Svartbrynalbatross|albatros czarnobrewy|Albatroz-de-sobrancelha|Чернобровый альбатрос|albatros čiernobrvý|Svartbrynad albatross|黑眉信天翁
Diomedea exulans|Wanderalbatros|Albatros Viajero|Hrímtrosi|Vandrealbatros|albatros stěhovavý|jättiläisalbatrossi|Albatro urlatore|ワタリアホウドリ|Grote Albatros|Vandrealbatross|albatros wedrowny|Albatroz-gigante|Странствующий альбатрос|albatros sťahovavý|Vandringsalbatross|漂泊信天翁
||||||||||||||||
Macronectes giganteus|Riesensturmvogel|Abanto-marino Antártico|Risafýlingur|Sydlig Kæmpestormfugl|buřňák obrovský|isomyrskyliitäjä|Ossifraga|オオフルマカモメ|Zuidelijke Reuzenstormvogel|Sørkjempepetrell|petrelec olbrzymi|Petrel-gigante|Южный гигантский буревестник|plavec veľký|Sydlig jättestormfågel|巨鹱
Fulmarus glacialis|Eissturmvogel|Fulmar Boreal|Fýll|Mallemuk|buřňák lední|myrskylintu|Fulmaro artico|ギンフルマカモメ|Noordse Stormvogel|Havhest|fulmar|Fulmar-glacial|Глупыш|fulmar ľadový|Stormfågel|暴风鹱
Daption capense|Kapsturmvogel|Petrel Damero|Mardúfa|Kappetrel|buřňák černobílý|kapinmyrskyliitäjä|Procellaria del Capo|マダラフルマカモメ|Kaapse Stormvogel|Flekkpetrell|warcabnik|Pomba-do-cabo|Капский голубок|fulmarka tenkozobá|Brokpetrell|花斑鹱
Pterodroma arminjoniana|Trinidadsturmvogel|Petrel de la Trinidade|Kvikudrúði|Trinidadepetrel|buřňák trinidadský|mauritiuksenviistäjä|Petrello di Arminjon|ムナフシロハラミズナギドリ|Arminjons Stormvogel|Trindadepetrell|petrel oceaniczny|Crazina-da-trindade|Тринидадский тайфунник|tajfúnnik admirálsky|Trindadepetrell|信使圆尾鹱
Pterodroma madeira|Madeirasturmvogel|Petrel Freira|Brekadrúði|Madeirapetrel|buřňák madeirský|madeiranviistäjä|Petrello di Madeira|マデイラミズナギドリ|Freira|Madeirapetrell|petrel maderski|Freira da Madeira|Мадейрский тайфунник|tajfúnnik madeirský|Madeirapetrell|马德拉圆尾鹱
Pterodroma feae|Kapverdensturmvogel|Petrel Gon-gon|Boðadrúði|Kap Verde-petrel|buřňák kapverdský|kapverdenviistäjä|Petrello di Fea|ケアプベルデミズナギドリ|Kaapverdische Donsstormvogel|Kappverdepetrell|petrel wyspowy|Freira do Bugio|Тайфунник Гон-Гон|tajfúnnik kapverdský|Kap Verdepetrell|佛得角圆尾鹱
Pterodroma mollis|Weichfeder-Sturmvogel|Petrel Suave|Unnardrúði|Fløjlspetrel|buřňák kerguelenský|vyöviistäjä|Petrello dal piumaggio morbido|カオジロミズナギドリ|Donsstormvogel|Silkepetrell|petrel miekkopióry|Freira|Мягкопёрый тайфунник|tajfúnnik hodvábny|Sammetspetrell|柔羽圆尾鹱
Pterodroma cahow|Bermudasturmvogel|Petrel Cahow||Bermudapetrel|buřňák bermudský|bermudanviistäjä|Cahow|バミュアダミズナギドリ|Bermudastormvogel|Bermudapetrell|petrel bermudzki|Freira-das-Bermudas|Бермудский тайфунник|tajfúnnik bermudský|Bermudapetrell|百慕大圆尾鹱
Pterodroma hasitata|Teufelssturmvogel|Petrel Antillano|Blesudrúði|Cariberpetrel|buřňák černotemenný|karibianviistäjä|Petrello dal cappuccio|ズグロシロハラミズナギドリ|Zwartkapstormvogel|Vestindiapetrell|petrel antylski|Grazina-de-coroa-preta|Черношапочный тайфунник|tajfúnnik čiapočkatý|Västindisk petrell|黑顶圆尾鹱
Pterodroma incerta|Schlegelsturmvogel|Petrel de Schlegel|Bylgjudrúði|Hvidbuget Petrel|buřňák bělobřichý|valkovatsaviistäjä|Petrello di Schlegel|ズキンミズナギドリ|Schlegels Stormvogel|Hvitbukpetrell|petrel bialobrzuchy|Grazina-de-barrjga-branca|Тайфунник Шлегеля|tajfúnnik bielobruchý|Vitbukad petrell|大西洋圆尾鹱
Bulweria bulwerii|Bulwersturmvogel|Petrel de Bulwer|Svöludrúði|Bulwers Petrel|buřňák Bulwerův|tyrskyliitäjä|Procellaria di Bulwer|アナドリ|Bulwers Stormvogel|Spisshalepetrell|tajfunnik cienkodzioby|Alma-negra|Тайфунник Бульвера|víchrovec klinochvostý|Spetsstjärtad petrell|褐燕鹱
Calonectris diomedea|Gelbschnabelsturmtaucher|Pardela cenicienta|Urðaskrofa|Kuhls Skråpe|buřňák šedý|keltanokkaliitäjä|Berta maggiore|オニミズナギドリ|Scopoli’s Pijlstormvogel|Gulnebblire|burzyk żółtodzioby|Bobo-grande|Средиземноморский буревестник|víchrovník plavý|Gulnäbbad lira|猛鹱
Calonectris edwardsii|Gelbschnabelsturmtaucher-edwardsii|Pardela de Cabo Verde|Dyngjuskrofa|Kap Verde-skråpe|buřňák Edwardsův||Berta maggiore|ケアプベルデミズナギドリ|Kaapverdische Pijlstormvogel|Kappverdelire|burzyk zielonoprzyladkowy|Cagarra de Cabo Verde|Буревестник Зеленого мыса|víchrovník kapverdský||
Puffinus gravis|Großer Sturmtaucher|Pardela Capirotada|Hettuskrofa|Storskråpe|buřňák velký|isoliitäjä|Berta dell'Atlantico|ズグロミズナギドリ|Grote Pijlstormvogel|Storlire|burzyk wielki|Pardela-de-bico-preto|Большой пестробрюхий буревестник|víchrovník atlantický|Större lira|大鹱
Puffinus griseus|Dunkler Sturmtaucher|Pardela Sombría|Gráskrofa|Sodfarvet Skråpe|buřňák temný|nokiliitäjä|Berta grigia|ハイイロミズナギドリ|Grauwe Pijlstormvogel|Grålire|burzyk szary|Pardela-preta|Серый буревестник|víchrovník tmavý|Grå lira|灰鹱
Puffinus puffinus|Schwarzschnabel-Sturmtaucher|Pardela Pichoneta|Skrofa|Almindelig skråpe|buřňák severní|pikkuliitäjä|Berta minore|マンクスコミズナギドリ|Noordse Pijlstormvogel|Havlire|burzyk pólnocny|Pardela-sombria|Обыкновенный буревестник|víchrovník malý|Mindre lira|大西洋鹱
Puffinus yelkouan|Mittelmeersturmtaucher|Pardela Mediterránea|Stormskrofa|Ægæerskråpe|buřňák středomořský|idänpikkuliitäjä|Berta minore|ヒメミズナギドリ|Yelkouanpijlstormvogel|Middelhavslire|burzyk sródziemnomorski|Pardela do Mediterrâneo|Обыкновенный буревестник|víchrovník hnedastý|Levantlira|地中海鹱
Puffinus mauretanicus|Balearensturmtaucher|Pardela Balear|Brúnskorfa|Balearskråpe|buřňák baleárský|baleaarienliitäjä|Berta minore delle Baleari|ヨアヨッパミズナギドリ|Vale Pijlstormvogel|Balearlire|burzyk balearski|Pardela do Mediterrâneo|Обыкновенный буревестник|víchrovník baleársky|Balearlira|巴利阿里鹱
Puffinus baroli|Kleinsturmtaucher-baroli|||Lille Skråpe|buřňák kanárský|kanariankääpiöliitäjä|||Canarische Kleine Pijlstormvogel|Makaronesialire|burzyk malutki|Pintainho|Североатлантический малый буревестник|víchrovník makaronézsky||
||||||||||||||||
Oceanites oceanicus|Buntfuß-Sturmschwalbe|Paíño de Wilson|Hafsvala|Wilsons Stormsvale|buřňáček Wilsonův|etelänkeiju|Uccello delle tempeste di Wilson|アシナガウミツバメ|Wilsons Stormvogeltje|Wilsonstormsvale|oceannik żółtopłetwy|Painho de Wilson|Качурка Вильсона|búrkozvest pestronohý|Havslöpare|黄蹼洋海燕
Pelagodroma marina|Weißgesicht-Sturmschwalbe|Paíño Pechialbo|Njarðarsvala|Fregatstormsvale|buřňáček běločelý|ulappakeiju|Uccello delle tempeste fregata|カオジロウミツバメ|Bont Stormvogeltje|Fregattstormsvale|oceannik bialobrewy|Painho-de-ventre-branco|Белолицая качурка|búrkozvest morský|Fregattstormsvala|白脸海燕
Hydrobates pelagicus|Sturmschwalbe|Paíño Europeo|Stormsvala|Lille Stormsvale|buřňáček malý|merikeiju|Uccello delle tempeste europeo|ヒメウミツバメ|Stormvogeltje|Havsvale|nawałnik burzowy|Paínho-de-cauda-quadrada|Британская качурка|víchrovníček morský|Stormsvala|暴风海燕
Oceanodroma leucorhoa|Wellenläufer|Paíño Boreal|Sjósvala|Stor Stormsvale|buřňáček dlouhokřídlý|myrskykeiju|Uccello delle tempeste codaforcuta|コシジロウミツバメ|Vaal Stormvogeltje|Stormsvale|nawałnik duży|Painho-de-cauda-forcada|Северная качурка|víchrovníček severský|Klykstjärtad stormsvala|白腰叉尾海燕
Oceanodroma monorhis|Swinhoewellenläufer|Paíño de Swinhoe|Marsvala|Mørkrygget Stormsvale|buřňáček vlaštovčí|pikkukeiju|Uccello delle tempeste di Swinhoe|ヒメクロウミツバメ|Chinees Stormvogeltje|Japanstormsvale|nawalnik brunatny|Painho de Swinhoe|Вилохвостая качурка|víchrovníček malý|Swinhoes stormsvala|黑叉尾海燕
Oceanodroma castro|Madeira-Wellenlaeufer|Paíño de Madeira||Madeirastormsvale|buřňáček madeirský|Madeirankeiju|Uccello delle tempeste di Castro|クロコシジロウミツバメ|Madeirastormvogeltje|Passatstormsvale|nawałnik białorzytny||Мадейрская качурка|víchrovníček černastý|Oceanlöpare|斑腰叉尾海燕
Oceanodroma monteiroi|Monteiro-Wellenläufer||||||||Monteiro’s Stormvogeltje||nawałnik azorski||Качурка Монтеиро|víchrovníček azorský||
||||||||||||||||
Phaethon aethereus|Rotschnabel-Tropikvogel|Rabijunco Etéreo|Melspíra|Rødnæbbet Tropikfugl|faeton červenozobý|suomutropiikkilintu|Fetone beccorosso|アカハシネッタイチョウ|Roodsnavelkeerkringvogel|Rødnebbtropikkfugl|faeton bialosterny|Rabo de palha|Красноклювый фаэтон|faeton červenozobý|Rödnäbbad tropikfågel|红嘴鹲
||||||||||||||||
Ciconia nigra|Schwarzstorch|Cigüeña Negra|Kolstorkur|Sort Stork|čáp černý|mustahaikara|Cicogna nera|ナベコウ|Zwarte Ooievaar|Svartstork|bocian czarny|Cegonha-preta|Чёрный аист|bocian čierny|Svart stork|黑鹳
Ciconia ciconia|Weißstorch|Cigüeña Blanca|Hvítstorkur|Hvid Stork|čáp bílý|kattohaikara|Cicogna bianca|シュバシコウ|Ooievaar|Stork|bocian biały|Cegonha-branca|Белый аист|bocian biely|Vit stork|白鹳
Leptoptilos crumeniferus|Marabu|Marabú Africano|Hræstorkur|Marabustork|marabu africký|afrikanmarabu|Marabù africano|アフリカハゲコウ|Afrikaanse Maraboe|Marabustork|marabut afrykanski|Marabu-africano|Африканский марабу|marabu zdochlinár|Marabustork|非洲秃鹳
Mycteria ibis|Nimmersatt|Tántalo Africano|Skógstorkur|Afrikansk Skovstork|nesyt africký|afrikaniibishaikara|Tantalo beccogiallo|アフリカトキコウ|Afrikaanse Nimmerzat|Gulnebbstork|dlawigad afrykanski|Cegonha-de-bico-amarelo|Африканский клювач|myktéria africká|Afrikansk ibisstork|黄嘴鹮鹳
||||||||||||||||
Fregata aquila|Adlerfregattvogel|Rabihorcado de Ascensión|Freigátufugl|Ascension Fregatfugl|fregatka ascensionská|atlantinfregattilintu|Fregata aquila|メスグログンカンドリ|Ascensionfregatvogel|Ascensionfregattfugl|fregata orla|Fragata-comum|Вознесенский фрегат|fregata orlia|Ascensionfregattfågel|阿岛军舰鸟
Fregata magnificens|Prachtfregattvogel|Rabihorcado Magnífico|Freigátufugl|Pragtfregatfugl|fregatka vznešená|keisarifregattilintu|Fregata magnifica|アメリカグンカンドリ|Amerikaanse Fregatvogel|Ascensionfregattfugl|fregata wielka|Fragata-comum|Вознесенский фрегат|fregata vznešená|Ascensionfregattfågel|华丽军舰鸟
||||||||||||||||
Sula dactylatra|Maskentölpel|Alcatraz Enmascarado|Grímusúla|Maskesule|terej maskový|naamiosuula|Sula mscherata|アオツラカツオドリ|Maskergent|Maskesule|gluptak maskowy|Atobá-grande|Голубоногая олуша|sula masková|Masksula|蓝脸鲣鸟
Sula leucogaster|Weißbauchtölpel|Piquero Pardo|Brúnsúla|Brun Sule|terej žlutonohý|ruskosuula|Sula fosca|カツオドリ|Bruine Gent|Rødfotsule|gluptak bialobrzuchy|Alcatraz|Бурая олуша|sula hnedá|Rödfotad sula|褐鲣鸟
Sula sula|Rotfußtölpel|Piquero Patirrojo|Trjásúla|Rødfodet Sule|terej červenonohý|punajalkasuula|Sula piedirossi|アカアシカツオドリ|Roodpootgent|Rødfotsule|gluptak czerwononogi|Atobá-de-pé-vermelho|Красноногая олуша|sula červenonohá|Rödfotad sula|红脚鲣鸟
Morus bassanus|Basstölpel|Alcatraz Atlántico|Súla|Sule|terej bílý|suula|Sula bassana|シロカツオドリ|Jan-van-gent|Havsule|głuptak|Ganso-patola|Северная олуша|sula biela|Havssula|北鲣鸟
Morus capensis|Kaptölpel|Alcatraz de El Cabo|Höfðasúla|Kapsule|terej jihoafrický|kapinsuula|Sula del Capo|ケアプシロカツオドリ|Kaapse Jan van Gent|Kappsule|gluptak przyladkowy|Atobá-do-cabo|Капская олуша|sula tmavochvostá|Kapsula|南非鲣
||||||||||||||||
Phalacrocorax auritus|Ohrenscharbe|Cormorán Orejudo|Skerjaskarfur|Øreskarv|kormorán ušatý|amerikanmerimetso|Marangone della doppia cresta|ミミヒメウ|Geoorde Aalscholver|Totoppskarv|kormoran rogaty|Corvo-marinho-de-orelhas|Ушастый баклан|kormorán ušatý|Öronskarv|角鸬鹚
Phalacrocorax carbo|Kormoran|Cormorán Grande|Dílaskarfur|Skarv|kormorán velký|merimetso|Cormorano comune|カワウ|Aalscholver|Storskarv|kormoran|Corvo-marinho-de-faces-brancas|Большой баклан|kormorán veľký|Storskarv|普通鸬鹚
Phalacrocorax aristotelis|Krähenscharbe|Cormorán Moñudo|Toppskarfur|Topskarv|kormorán chocholatý|karimetso|Marangone dal ciuffo|ヨアロッパヒメウ|Kuifaalscholver|Toppskarv|kormoran czubaty|Corvo-marinho-de-crista|Длинноносый баклан|kormorán chochlatý|Toppskarv|欧鸬鹚
Phalacrocorax pygmaeus|Zwergscharbe|Cormorán Pigmeo|Dvergskarfur|Dværgskarv|kormorán malý|pikkumerimetso|Marangone minore|コビトウ|Dwergaalscholver|Dvergskarv|kormoran mały|Corvo-marinho-pigmeu|Малый баклан|kormorán malý|Dvärgskarv|侏鸬鹚
||||||||||||||||
Anhinga rufa|Schlangenhalsvogel|Anhinga Africana|Rauðskutli|Afrikansk Slangehalsfugl|anhinga africká|käärmekaula|Aninga africana|アフリカヘビウ|Afrikaanse Slangenhalsvogel|Afrikaslangehals|wezówka afrykanska|Mergulhão-serpente|Африканская змеешейка|anhinga hrdzavokrká|Afrikansk ormhalsfågel|红蛇鹈
||||||||||||||||
Pelecanus onocrotalus|Rosapelikan|Pelícano Común|Roðakani|Hvid Pelikan|pelikán bílý|pelikaani|Pellicano bianco|モモイロペリカン|Roze Pelikaan|Hvitpelikan|pelikan różowy|Pelicano-vulgar|Розовый пеликан|pelikán ružový|Vit pelikan|白鹈鹕
Pelecanus crispus|Krauskopfpelikan|Pelícano Ceñudo|Hrokkinkani|Krøltoppet Pelikan|pelikán kadeřavý|kiharapelikaani|Pellicano riccio|ニシハイイロペリカン|Kroeskoppelikaan|Krøllpelikan|pelikan kędzierzawy|Pelicano-crespo|Кудрявый пеликан|pelikán kučeravý|Krushuvad pelikan|卷羽鹈鹕
||||||||||||||||
Botaurus lentiginosus|Nordamerikanische Rohrdommel|Avetoro Lentiginoso|Reyrþvari|Amerikansk Rørdrum|bukač severoamerický|amerikankaulushaikara|Tarabuso americano|アメリカサンカノゴイ|Noord-Amerikaanse Roerdomp|Amerikarørdrum|bak amerykanski|Abetouro-lentiginoso|Американская выпь|bučiak hnedokrký|Amerikansk rördom|美洲麻鳽
Botaurus stellaris|Rohrdommel|Avetoro Común|Sefþvari|Rørdrum|bukač velký|kaulushaikara|Tarabuso eurasiatico|サンカノゴイ|Roerdomp|Rørdrum|bąk|Abetouro-comum|Большая выпь|bučiak veľký|Rördrom|大麻鳽
Ixobrychus minutus|Zwergdommel|Mirasol Pequeño|Rindilþvari|Dværghejre|bukáček malý|pikkuhaikara|Tarabusino comune|ヒメヨシゴイ|Woudaapje|Dvergrørdrum|bączek|Garça-pequena|Волчок|bučiačik močiarny|Dvärgrördrom|小苇鳽
Ixobrychus eurhythmus|Mandschurendommel|Avetorillo Manchú|Grasþvari|Mørk Dværghejre|bukáček výhodní|kastanjapikkuhaikara|Tarabusino di Schrenk|オオヨシゴイ|Mantsjoerijse Woudaap|Orientrørdrum|baczek amurski||Амурский волчок|bučiačik gaštanový|Schrencks dvärgrördrom|紫背苇鳽
Ixobrychus sturmii|Graurückendommel|Avetorillo Plomizo|Helluþvari|Pygmæhejre|bukáček trpasličí|sinipikkuhaikara|Tarabusino nano africano|クロヨシゴイ|Afrikaanse Woudaap|Skiferrørdrum|baczek ciemny|Garçote-anão|Сероспинный волчок|bučiačik trpasličí|Pygmérördrom|蓝苇鳽
Ixobrychus exilis|Amerikanische Zwergdommel|Avetorillo Panamericano|Rengluþvari|Amerikansk Dværghejre|bukáček bažinný|amerikanpikkuhaikara|Tarabusino minore americano|コヨシゴイ|Amerikaanse Woudaap|Pygmérørdrum|baczek amerykanski|Socoí-vermelho|Индийский волчок|bučiačik malý|Amerikansk dvärgrördrom|姬苇鳽
Ardea herodias|Kanadareiher|Garza Azulada|Bláhegri|Stor Blåhejre|volavka velká|amerikanharmaahaikara|Airone azzurro maggiore|オオアオサギ|Amerikaanse Blauwe Reiger|Herodiashegre|czapla modra|Garça-azul-grande|Большая цапля|volavka statná|Amerikansk gråhäger|大蓝鹭
Ardea cinerea|Graureiher|Garza Real|Gráhegri|Fiskehejre|volavka popelavá|harmaahaikara|Airone cenerino|アオサギ|Blauwe Reiger|Gråhegre|czapla siwa|Garça-real|Серая цапля|volavka popolavá|Gråhäger|苍鹭
Ardea melanocephala|Schwarzhalsreiher|Garza Cabecinegra|Hettuhegri|Sorthovedet Hejre|volavka africká|kobolttihaikara|Airone testanera|ズグロアオサギ|Zwartkopreiger|Svarthodehegre|czapla czarnoglowa|Garça-de-cabeça-preta|Черношейная цапля|volavka čiernohlavá|Svarthuvad häger|黑头鹭
Ardea purpurea|Purpurreiher|Garza Imperial|Rauðhegri|Purpurhejre|volavka červená|ruskohaikara|Airone rosso|ムラサキサギ|Purperreiger|Purpurhegre|czapla purpurowa|Garça-roxa|Рыжая цапля|volavka purpurová|Purpurhäger|草鹭
Ardea alba|Silberreiher|Garceta Grande|Mjallhegri|Sølvhejre|volavka bílá|jalohaikara|Airone bianco maggiore|ダイサギ|Grote Zilverreiger|Egretthegre|czapla biała|Garça-branca-grande|Большая белая цапля|beluša veľká|Ägretthäger|大白鹭
Egretta garzetta|||||||||Kleine Zilverreiger|||||beluša malá||
Egretta gularis|Küstenreiher|Garceta Dimorfa|Kóralhegri|Revhejre|volavka belolící|riuttahaikara|Airone schistaceo|アフリカクロサギ|Westelijke Rifreiger|Strandhegre|czapla rafowa|Garça-dos-recifes|Береговая цапля|volavka pobrežná|Revhäger|黄喉岩鹭
Egretta thula|Schmuckreiher|Garceta Nívea|Ljómahegri|Snehejre|volavka bělostná|lumihaikara|Garzetta nivea|ユキコサギ|Amerikaanse Kleine Zilverreiger|Snøhegre|czapla sniezna|Garcinha-branca|Белая американская цапля|volavka žltoprstá|Snöhäger|雪鹭
Egretta caerulea|Blaureiher|Garceta Azul|Mýrahegri|Blåhejre|volavka modrošedá|sinihaikara|Airone azzurro minore|ヒメアカクロサギ|Kleine Blauwe Reiger|Blåhegre|czapla sniada|Garca-azul|Малая голубая цапля|volavka modrosivá|Blåhäger|小蓝鹭
Egretta tricolor|Dreifarbenreiher|Garceta Tricolor|Hólmahegri|Trefarvet Hejre|volavka tříbarvá|karibianhaikara|Airone della Luisiana|サンショクサギ|Witbuikreiger|Prakthegre|czapla trójbarwna|Garça-tricolor|Трёхцветная цапля|volavka trojfarebná|Trefärgad häger|三色鹭
Bubulcus ibis|Kuhreiher|Garcilla Bueyera|Kúhegri|Kohejre|volavka rusohlavá|lehmähaikara|Airone guardabuoi|アマサギ|Koereiger|Kuhegre|czapla złotawa|Garca-vaqueira|Египетская цапля|hltavka chochlatá|Kohäger|牛背鹭
