|Latin Name|Greek name|English Name
304|Luscinia svecica                  |Γαλαζολαίμης                |Bluethroat
305|Irania gutturalis                 |Λευκόλαιμο Αηδόνι                 |White-throated Robin
306|Phoenicurus ochruros              |Καρβουνιάρης                |Black Redstart
307|Phoenicurus phoenicurus           |(Κοινός) Φοινίκουρος                 |Common Redstart
308|Phoenicurus moussieri             |Φοινίκουρος του Άτλαντα    |Moussier's Redstart
309|Saxicola rubetra                  |Καστανολαίμης               |Whinchat
310|Saxicola torquatus                 |(Ευρωπαϊκός) Μαυρολαίμης                |Common Stonechat
311|Oenanthe isabellina               |Αμμοπετρόκλης               |Isabelline Wheatear
312|Oenanthe oenanthe                 |Σταχτοπετρόκλης             |Northern Wheatear
313|Oenanthe pleschanka               |Παρδαλοπετρόκλης           |Pied Wheatear
314|Oenanthe hispanica                |Ασπροκωλίνα                   |Black-eared Wheatear
315|Oenanthe deserti                  |Ερημοπετρόκλης              |Desert Wheatear
316|Oenanthe finschii                 |Βουνοπετρόκλης        |Finsch's Wheatear
317|Oenanthe leucopyga                |Λευκόπυγος Πετρόκλης |White-crowned Wheatear
318|Oenanthe leucura                  |Μαυροπετρόκλης              |Black Wheatear
319|Monticola saxatilis               |Πυροκότσυφας               |Rufous-tailed Rock Thrush
320|Monticola solitarius              |Γαλαζοκότσυφας             |Blue Rock Thrush
321|Zoothera dauma                    |Χρυσότσιχλα                |White's Thrush
322|Turdus torquatus                  |Χιονοκότσυφας                 |Ring Ouzel
323|Turdus merula                     |(Κοινός) Κότσυφας                   |Common Blackbird
324|Turdus ruficollis                 |Σκουρόλαιμη Τσίχλα           |Dark-throated Thrush
325|Turdus pilaris                    |Κεδρότσιχλα                |Fieldfare
326|Turdus philomelos                 |(Κοινή) Τσίχλα               |Song Thrush
327|Turdus iliacus                    |Κοκκινότσιχλα               |Redwing
328|Turdus viscivorus                 |Γερακότσιχλα                   |Mistle Thrush
|Sylviidae||
329|Cettia cetti                      |(Ευρωπαϊκό) Ψευταηδόνι                  |Cetti's Warbler
330|Cisticola juncidis                |(Ευρωπαϊκή) Κιστικόλη            |Zitting Cisticola
331|Locustella naevia                 |Θαμνοτριλιστής              |Common Grasshopper Warbler
332|Locustella fluviatilis            |Ποταμοτριλιστής             |River Warbler
333|Locustella luscinioides           |Καλαμοτριλιστής             |Savi's Warbler
